,weekday,hour,minute,Average
0,1,0,0,10.421499999999998
1,1,0,10,7.639666666666668
2,1,0,20,7.648000000000001
3,1,0,30,8.299166666666666
4,1,0,40,8.39133748105866
5,1,0,50,8.503333333333334
6,1,1,0,9.572666666666667
7,1,1,10,10.308664464505416
8,1,1,20,9.51000137607014
9,1,1,30,8.7875
10,1,1,40,9.954146418035178
11,1,1,50,9.857017695326393
12,1,2,0,9.479333333333333
13,1,2,10,8.61899819494
14,1,2,20,8.837
15,1,2,30,8.593666666666666
16,1,2,40,8.189499999999999
17,1,2,50,8.629
18,1,3,0,9.005500000000001
19,1,3,10,8.059333333333333
20,1,3,20,8.275166666666667
21,1,3,30,10.817666666666666
22,1,3,40,10.012833333333333
23,1,3,50,9.238833333333334
24,1,4,0,8.768987466875553
25,1,4,10,7.397177348259217
26,1,4,20,8.501332056539535
27,1,4,30,8.672166666666666
28,1,4,40,8.547166397712825
29,1,4,50,8.918833333333334
30,1,5,0,8.985999300428796
31,1,5,10,8.068499329135184
32,1,5,20,8.962829932049305
33,1,5,30,9.751650840092402
34,1,5,40,12.262694361572693
35,1,5,50,11.547333333333333
36,1,6,0,10.072
37,1,6,10,9.846666666666668
38,1,6,20,9.404666666666667
39,1,6,30,8.818333333333333
40,1,6,40,8.847
41,1,6,50,8.907166666666667
42,1,7,0,10.761172778388612
43,1,7,10,9.195166666666665
44,1,7,20,9.401833333333334
45,1,7,30,8.476166666666666
46,1,7,40,9.74549970326375
47,1,7,50,9.267333333333333
48,1,8,0,10.010000189397314
49,1,8,10,10.322999999999999
50,1,8,20,8.57149945883514
51,1,8,30,8.845833333333333
52,1,8,40,8.481665194934722
53,1,8,50,8.55
54,1,9,0,9.970833333333335
55,1,9,10,8.535833333333333
56,1,9,20,8.056166666666666
57,1,9,30,8.576666666666666
58,1,9,40,7.028487625206248
59,1,9,50,7.176512533542225
60,1,10,0,7.772666666666666
61,1,10,10,6.915001361490278
62,1,10,20,6.408833361463148
63,1,10,30,6.662166666666667
64,1,10,40,6.237831255876481
65,1,10,50,6.044166119731342
66,1,11,0,5.69133328643875
67,1,11,10,6.0468346754281015
68,1,11,20,5.463659542086526
69,1,11,30,4.9716786535138455
70,1,11,40,4.705835194689816
71,1,11,50,4.9084930917818035
72,1,12,0,5.022009375627272
73,1,12,10,3.9770014448981486
74,1,12,20,4.163827555651851
75,1,12,30,4.118841214020233
76,1,12,40,4.476666666666667
77,1,12,50,4.093665436341064
78,1,13,0,4.87966776418588
79,1,13,10,4.6205028202189355
80,1,13,20,4.358
81,1,13,30,4.058665652990694
82,1,13,40,4.016333333333334
83,1,13,50,4.163826350325183
84,1,14,0,3.9278354756332874
85,1,14,10,4.201164825438472
86,1,14,20,3.840672088979261
87,1,14,30,4.004333333333333
88,1,14,40,3.7986655589658795
89,1,14,50,3.868666666666667
90,1,15,0,3.9851568669871265
91,1,15,10,3.4751756947625028
92,1,15,20,3.3694989671155553
93,1,15,30,3.3836730477389367
94,1,15,40,3.277166305913611
95,1,15,50,3.459333369834583
96,1,16,0,3.395329158719952
97,1,16,10,3.3811666666666667
98,1,16,20,3.5406666666666666
99,1,16,30,3.3036681474040277
100,1,16,40,3.2176678614536107
101,1,16,50,3.2093337086920832
102,1,17,0,3.1763306586882862
103,1,17,10,3.4891666666666667
104,1,17,20,3.213668291838843
105,1,17,30,3.299167855730185
106,1,17,40,3.187499319787916
107,1,17,50,3.2305
108,1,18,0,3.1001621031901374
109,1,18,10,3.1958344392678706
110,1,18,20,3.209335190792429
111,1,18,30,3.1471670558897222
112,1,18,40,3.035
113,1,18,50,3.19116225007361
114,1,19,0,3.1066725752498625
115,1,19,10,3.089160686551433
116,1,19,20,3.138833972581204
117,1,19,30,3.0986723863578254
118,1,19,40,3.0598333333333327
119,1,19,50,3.047333333333333
120,1,20,0,3.159663555900184
121,1,20,10,3.1616666666666666
122,1,20,20,3.066
123,1,20,30,3.472833333333333
124,1,20,40,3.1218333333333335
125,1,20,50,3.1363333333333334
126,1,21,0,3.256668055728704
127,1,21,10,3.203333708530509
128,1,21,20,3.4006671613107415
129,1,21,30,3.201166666666667
130,1,21,40,3.544999211725833
131,1,21,50,3.20566525016824
132,1,22,0,3.396666666666667
133,1,22,10,3.3649999999999998
134,1,22,20,3.3888333333333334
135,1,22,30,3.542333333333333
136,1,22,40,3.8015
137,1,22,50,3.725
138,1,23,0,4.067165930777083
139,1,23,10,4.560831953281064
140,1,23,20,4.3371666863396765
141,1,23,30,4.830001550276019
142,1,23,40,5.167
143,1,23,50,7.456171006044076
144,2,0,0,8.001822306656663
145,2,0,10,7.905676639570373
146,2,0,20,8.625000403755973
147,2,0,30,7.716487517290924
148,2,0,40,8.462012402984495
149,2,0,50,10.20081550145944
150,2,1,0,8.882514700245004
151,2,1,10,8.642333333333335
152,2,1,20,9.565833333333334
153,2,1,30,9.905166666666668
154,2,1,40,8.922498569918009
155,2,1,50,9.438666666666666
156,2,2,0,10.3075
157,2,2,10,9.074833333333334
158,2,2,20,11.242831351176573
159,2,2,30,9.684666666666669
160,2,2,40,9.4725
161,2,2,50,9.570833333333335
162,2,3,0,10.488333333333333
163,2,3,10,8.541333333333332
164,2,3,20,8.943669800561205
165,2,3,30,9.342657492703747
166,2,3,40,8.052168305991668
167,2,3,50,7.778672008805418
168,2,4,0,9.133177131651253
169,2,4,10,8.636007403365511
170,2,4,20,9.850007514358753
171,2,4,30,7.8625
172,2,4,40,8.6095
173,2,4,50,9.089
174,2,5,0,11.180497356214442
175,2,5,10,10.177166666666668
176,2,5,20,10.275
177,2,5,30,9.185149944723143
178,2,5,40,10.1281811729813
179,2,5,50,10.309169598353659
180,2,6,0,11.08814914808291
181,2,6,10,9.709334342663748
182,2,6,20,9.656347217392225
183,2,6,30,9.520164001062962
184,2,6,40,9.214499618205554
185,2,6,50,9.79883707881676
186,2,7,0,8.702666666666667
187,2,7,10,8.97414925403282
188,2,7,20,8.824348500768245
189,2,7,30,8.619333333333334
190,2,7,40,8.913497251539074
191,2,7,50,9.396168789949261
192,2,8,0,9.905166666666666
193,2,8,10,10.709166666666667
194,2,8,20,12.173833333333334
195,2,8,30,9.5095
196,2,8,40,8.7405
197,2,8,50,9.148166666666667
198,2,9,0,8.502
199,2,9,10,8.375499999999999
200,2,9,20,8.2575
201,2,9,30,7.672499999999999
202,2,9,40,8.022498533840372
203,2,9,50,8.82682634048796
204,2,10,0,8.702165730989675
205,2,10,10,6.909999999999999
206,2,10,20,6.348166666666666
207,2,10,30,7.136666666666666
208,2,10,40,6.580166666666668
209,2,10,50,6.1321666666666665
210,2,11,0,5.9463333333333335
211,2,11,10,5.6735
212,2,11,20,5.306833333333334
213,2,11,30,5.756666666666666
214,2,11,40,5.023666666666666
215,2,11,50,4.765499999999999
216,2,12,0,4.757171542196529
217,2,12,10,5.0666579170412005
218,2,12,20,5.012511495136854
219,2,12,30,4.915499522496388
220,2,12,40,4.67183330583426
221,2,12,50,4.215833333333333
222,2,13,0,4.9554937865157855
223,2,13,10,4.208173977899632
224,2,13,20,3.9718323696600466
225,2,13,30,3.99233239744986
226,2,13,40,4.0335
227,2,13,50,3.9290000000000007
228,2,14,0,4.702166666666666
229,2,14,10,4.161665769918843
230,2,14,20,4.148996003100878
231,2,14,30,4.159502667316575
232,2,14,40,4.302174291996716
233,2,14,50,4.133666644892407
234,2,15,0,4.139000930806435
235,2,15,10,4.198
236,2,15,20,4.185334333802963
237,2,15,30,4.158168708552547
238,2,15,40,4.140333333333333
239,2,15,50,4.044
240,2,16,0,3.6995026392941677
241,2,16,10,3.634500494832223
242,2,16,20,3.5094950695266194
243,2,16,30,3.2961727419665294
244,2,16,40,3.313333958519398
245,2,16,50,3.255333708487916
246,2,17,0,3.1834996670203703
247,2,17,10,3.154836319783751
248,2,17,20,3.1341666666666663
249,2,17,30,3.270662756088703
250,2,17,40,3.199001875191898
251,2,17,50,3.097167250198333
252,2,18,0,3.099999506085463
253,2,18,10,3.0461654391896293
254,2,18,20,2.9875
255,2,18,30,3.1661644807345826
256,2,18,40,3.1516626198718045
257,2,18,50,3.091670825260973
258,2,19,0,3.195830847414305
259,2,19,10,3.120504500527501
260,2,19,20,3.129666666666666
261,2,19,30,3.075508835220397
262,2,19,40,3.1958333333333333
263,2,19,50,3.239333333333333
264,2,20,0,3.803494575291063
265,2,20,10,3.3283396946987978
266,2,20,20,3.118499027957407
267,2,20,30,3.6681681645140287
268,2,20,40,3.217166527925926
269,2,20,50,3.468328227398113
270,2,21,0,4.226333333333334
271,2,21,10,3.0080006112775
272,2,21,20,3.0685000000000002
273,2,21,30,3.382499389061759
274,2,21,40,3.485825875282822
275,2,21,50,3.301836717046112
276,2,22,0,3.4865053889787054
277,2,22,10,3.490161786192452
278,2,22,20,3.5506754697601415
279,2,22,30,3.6385017226441674
280,2,22,40,3.902997550212129
281,2,22,50,3.962165097698564
282,2,23,0,3.887330889352036
283,2,23,10,3.987666797640139
284,2,23,20,4.402999847497176
285,2,23,30,5.0786687641513435
286,2,23,40,5.813333333333333
287,2,23,50,7.066333333333333
288,3,0,0,7.641321736304394
289,3,0,10,8.042834456862868
290,3,0,20,7.566177820043291
291,3,0,30,9.664150772487124
292,3,0,40,10.095187959277737
293,3,0,50,10.838163440187127
294,3,1,0,11.572993140597868
295,3,1,10,10.5081581630512
296,3,1,20,12.719531451823434
297,3,1,30,10.394165056111296
298,3,1,40,10.370003272866295
299,3,1,50,9.282665959332823
300,3,2,0,10.2429949927781
301,3,2,10,9.742821279089256
302,3,2,20,8.826683117370468
303,3,2,30,9.075333333333333
304,3,2,40,8.7915
305,3,2,50,8.979316092883098
306,3,3,0,9.101347509134124
307,3,3,10,10.0
308,3,3,20,8.850833333333332
309,3,3,30,9.897501742175326
310,3,3,40,9.843503459427456
311,3,3,50,11.671663494960276
312,3,4,0,11.314999999999998
313,3,4,10,10.882992912244998
314,3,4,20,12.140315504457078
315,3,4,30,10.688352922548708
316,3,4,40,10.489168398353751
317,3,4,50,10.049498195033333
318,3,5,0,10.976482000299994
319,3,5,10,11.2118507174288
320,3,5,20,10.121665434409442
321,3,5,30,11.818000000000001
322,3,5,40,11.110165161762591
323,3,5,50,10.847167106776482
324,3,6,0,11.075820007064626
325,3,6,10,10.223854881448478
326,3,6,20,9.974165562188057
327,3,6,30,9.666660204402358
328,3,6,40,10.5023307311906
329,3,6,50,10.875497125574768
